Authors,Publication Year,Data Collection Period,Species,Region,Manuscript Region,Specific Location,n,Sample Type,Chemical,FA class,Concentration,Concentration units,Tissue,Notes,DOI or Link,type
USDA database,N/A,N/A,Chinook,NA,NA,NA,NA,NA,%P,P,0.289,% body weight or g/100g bw,muscle,,,nutrient
USDA database,N/A,N/A,Pink,NA,NA,NA,NA,NA,%P,P,0.261,% body weight or g/100g bw,muscle,,,nutrient
USDA database,N/A,N/A,Chum,NA,NA,NA,NA,NA,%P,P,0.283,% body weight or g/100g bw,muscle,,,nutrient
AK Dept of Environmental Conservation,2019,2001-2018,Chum,Alaska,NA,NA,50,Individual,PCBs,,1.88,ng/g ww,Fillet,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chum,Alaska,NA,NA,2,Individual,PCBs,,2.79,ng/g ww,Whole Body,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,113,Individual,PCBs,,1.37,ng/g ww,Fillet,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Coho,Alaska,NA,NA,58,Individual,PCBs,,3.66,ng/g ww,Whole Body,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,79,Individual,PCBs,,11.65,ng/g ww,Fillet,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Chinook,Alaska,NA,NA,15,Individual,PCBs,,17.19,ng/g ww,Whole Body,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Pink,Alaska,NA,NA,33,Individual,PCBs,,1.06,ng/g ww,Fillet,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,68,Individual,PCBs,,6.56,ng/g ww,Fillet,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,20,Individual,PCBs,,7.13,ng/g ww,Whole Body,,,contaminant
AK Dept of Environmental Conservation,2019,2001-2018,Sockeye,Alaska,NA,NA,6,Composite,PCBs,,8.47,ng/g ww,Whole Body,,,contaminant
Bloom,1992,NA,Chinook,Alaska,NA,Store-bought,10,Individual,Hg_Total,,0.039,mg/kg ww,Fillet,,,contaminant
Burger et al.,2007,2004-2005,Sockeye,Alaska,Central AK,Aleutian Islands,15,Individual,Hg_Total,,0.042,mg/kg ww,Fillet,,,contaminant
Dabeka et al.,2004,2002,Sockeye,Canada,BC/WC,Store-bought,2,Individual,Hg_Total,,0.038,mg/kg ww,Fillet,,,contaminant
Dabeka et al.,2004,2002,Chinook,Canada,BC/WC,Store-bought,3,Individual,Hg_Total,,0.053,mg/kg ww,Fillet,,,contaminant
Easton et al.,2002,2000,Chinook,Alaska,NA,Store-bought,1,Individual,Hg_Total,,0.0559,mg/kg ww,Fillet+Skin,,,contaminant
Easton et al.,2002,2000,Chum,Alaska,NA,Store-bought,1,Individual,Hg_Total,,0.0264,mg/kg ww,Fillet+Skin,,,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,Hg_Total,,0.072,mg/kg ww,Fillet+Skin,,,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,Hg_Total,,0.0436,mg/kg ww,Fillet+Skin,,,contaminant
Easton et al.,2002,2000,Chinook,Alaska,NA,Store-bought,1,Individual,PCBs,,8.58,ng/g ww,Fillet+Skin,112 Congeners,,contaminant
Easton et al.,2002,2000,Chum,Alaska,NA,Store-bought,1,Individual,PCBs,,1.88,ng/g ww,Fillet+Skin,112 Congeners,,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,PCBs,,5.945,ng/g ww,Fillet+Skin,112 Congeners,,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,PCBs,,4.792,ng/g ww,Fillet+Skin,112 Congeners,,contaminant
Easton et al.,2002,2000,Chinook,Alaska,NA,Store-bought,1,Individual,DDTs,,8.59,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Easton et al.,2002,2000,Chum,Alaska,NA,Store-bought,1,Individual,DDTs,,1.7,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,DDTs,,6.7,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Easton et al.,2002,2000,Sockeye,British Columbia,BC/WC,Store-bought,1,Individual,DDTs,,5.57,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Easton et al.,2002,2000-2001,Chinook,Alaska,NA,Store-bought,1,Individual,PBDEs,,0.485,ng/g ww,Fillet+Skin,Sum of 39 congeners (specific congeners not provided),,contaminant
Easton et al.,2002,2000-2001,Chum,Alaska,NA,Store-bought,1,Individual,PBDEs,,0.039,ng/g ww,Fillet+Skin,Sum of 39 congeners (specific congeners not provided),,contaminant
Easton et al.,2002,2000-2001,Sockeye,British Columbia,NA,Store-bought,1,Individual,PBDEs,,0.095,ng/g ww,Fillet+Skin,Sum of 39 congeners (specific congeners not provided),,contaminant
Easton et al.,2002,2000-2001,Sockeye,British Columbia,NA,Store-bought,1,Individual,PBDEs,,0.093,ng/g ww,Fillet+Skin,Sum of 39 congeners (specific congeners not provided),,contaminant
Hall et al.,1978,1974,Chinook,USA,BC/WC,US Coastline,108,Individual,Hg_Total,,0.062,mg/kg ww,Fillet,,,contaminant
Hall et al.,1978,1974,Chum,USA,BC/WC,US Coastline,55,Individual,Hg_Total,,0.044,mg/kg ww,Fillet,,,contaminant
Hall et al.,1978,1974,Coho,USA,BC/WC,US Coastline,69,Individual,Hg_Total,,0.055,mg/kg ww,Fillet,,,contaminant
Hall et al.,1978,1974,Pink,USA,BC/WC,US Coastline,29,Individual,Hg_Total,,0.025,mg/kg ww,Fillet,,,contaminant
Hall et al.,1978,1974,Sockeye,USA,BC/WC,US Coastline,60,Individual,Hg_Total,,0.04,mg/kg ww,Fillet,,,contaminant
Health Canada,2007,2002-2004,Chinook,Canada,NA,Store-bought,29,Individual,Hg_Total,,0.05,mg/kg ww,Fillet,,,contaminant
Health Canada,2007,2002-2004,Chum,Canada,NA,Store-bought,18,Individual,Hg_Total,,0.02,mg/kg ww,Fillet,,,contaminant
Health Canada,2007,2002-2004,Coho,Canada,NA,Store-bought,3,Individual,Hg_Total,,0.02,mg/kg ww,Fillet,,,contaminant
Health Canada,2007,2002-2004,Pink,Canada,NA,Store-bought,1,Individual,Hg_Total,,0.02,mg/kg ww,Fillet,,,contaminant
Health Canada,2007,2002-2004,Sockeye,Canada,NA,Store-bought,15,Individual,Hg_Total,,0.03,mg/kg ww,Fillet,,,contaminant
Hites et al.,2004b,2001-2002,Chinook,British Columbia,BC/WC,Store-bought,3,Composite,PBDEs,,4.19,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",,contaminant
Hites et al.,2004b,2001-2002,Pink,British Columbia,BC/WC,Store-bought,3,Composite,PBDEs,,0.44,ng/g ww,Fillet+Skin,"Sum of PBDE congeners 1, 2, 3, 7, 8, 10, 11, 12, 13, 15, 17, 25, 28, 30, 32, 33, 35, 37, 47, 49, 66, 71, 75, 77, 85, 99, 100, 105, 116, 119, 126, 138, 140, 153, 154, 155, 166, 181, 183, 190, 206, 207, and 208",,contaminant
Hites et al. ,2004,NA,Chinook,Alaska,NA,Store-bought,3,Composite,DDTs,,5.3,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Chum,Alaska,NA,Store-bought,3,Composite,DDTs,,1.22,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Coho,Alaska,NA,Store-bought,3,Composite,DDTs,,1.95,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Pink,Alaska,NA,Store-bought,3,Composite,DDTs,,1.42,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Sockeye,Alaska (Kodiak),Central AK,Store-bought,3,Composite,DDTs,,2.84,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Chum,Alaska,SEAK,Store-bought,3,Composite,DDTs,,1.49,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Coho,Alaska,SEAK,Store-bought,3,Composite,DDTs,,2.36,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Pink,Alaska,SEAK,Store-bought,3,Composite,DDTs,,1.35,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Sockeye,Alaska,SEAK,Store-bought,3,Composite,DDTs,,5.78,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Chinook,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,,11.48,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Chum,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,,1.8,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Coho,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,,3.43,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Pink,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,,2.94,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Sockeye,British Columbia,BC/WC,Store-bought,3,Composite,DDTs,,6.35,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al. ,2004,NA,Chinook,Oregon,BC/WC,Store-bought,3,Composite,DDTs,,12.7,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Hites et al.,2004,NA,Chinook,British Columbia,BC/WC,Store-bought,3,Composite,PCBs,,15.1,ng/g ww,Fillet+Skin,,,contaminant
Keefer et al.,2020,2013-2014,Chinook,Oregon,BC/WC,Willamette River,63,Individual,PCBs,,12.7,ng/g ww,Fillet+Skin,45 Congeners,,contaminant
Keefer et al.,2020,2013-2014,Chinook,Oregon,BC/WC,Willamette River,63,Individual,DDTs,,17.6,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2008,2003,Chinook,British Columbia,BC/WC,WCVI Barkley Sound,10,Individual,Hg_Total,,0.086,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2008,2003,Chinook,British Columbia,BC/WC,WCVI Troll,11,Individual,Hg_Total,,0.066,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2008,2003,Chum,British Columbia,BC/WC,Johnstone Strait,12,Individual,Hg_Total,,0.02,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2008,2003,Coho,British Columbia,BC/WC,Nootka Sound,10,Individual,Hg_Total,,0.04,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2008,2003,Coho,British Columbia,BC/WC,Prince Rupert,12,Individual,Hg_Total,,0.025,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2008,2003,Coho,British Columbia,BC/WC,WCVI Troll,13,Individual,Hg_Total,,0.043,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2008,2003,Pink,British Columbia,BC/WC,Johnstone Strait,10,Individual,Hg_Total,,0.013,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2008,2003,Sockeye,British Columbia,BC/WC,Johnstone Strait,11,Individual,Hg_Total,,0.038,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,6,Composite,Hg_Total,,0.021,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,6,Composite,Hg_Total,,0.02,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,4,Composite,Hg_Total,,0.02,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,10,Composite,Hg_Total,,0.02,mg/kg ww,Fillet,,,contaminant
Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,8,Composite,PCBs,,7.216,ng/g ww,Fillet,139 Congeners,,contaminant
Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,5,Composite,PCBs,,7.803,ng/g ww,Fillet,139 Congeners,,contaminant
Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,7,Composite,PCBs,,8.642,ng/g ww,Fillet,139 Congeners,,contaminant
Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,2,Composite,PCBs,,9.913,ng/g ww,Fillet,139 Congeners,,contaminant
Kelly et al.,2011,2003,Chinook,British Columbia,BC/WC,WCVI Barkley Sound,10,Individual,DDTs,,13.02,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2011,2003,Chinook,British Columbia,BC/WC,WCVI Troll,11,Individual,DDTs,,9.8,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,7,Composite,DDTs,,7.76,ng/g ww,Fillet,"Lower Fraser River, Thompson River population; back calculated concentration from ng/g lipid concentration using % lipid provided in paper; sum of p,p?-DDT, o,p?-DDT,  p,p?-DDE, o,p?-DDE, p,p?-DDD, o,p?-DDD",,contaminant
Kelly et al.,2011b,2007,Chinook,British Columbia,BC/WC,Fraser River,2,Composite,DDTs,,5.64,ng/g ww,Fillet,"Mid River Catch, Shuswap River population; back calculated concentration from ng/g lipid concentration using % lipid provided in paper; sum of p,p?-DDT, o,p?-DDT,  p,p?-DDE, o,p?-DDE, p,p?-DDD, o,p?-DDD",,contaminant
Kelly et al.,2011,2003,Chum,British Columbia,BC/WC,Johnstone Strait,12,Individual,DDTs,,0.75,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2011,2003,Coho,British Columbia,BC/WC,Nootka Sound,10,Individual,DDTs,,4.71,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2011,2003,Coho,British Columbia,BC/WC,Prince Rupert,12,Individual,DDTs,,1.97,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2011,2003,Coho,British Columbia,BC/WC,WCVI Troll,13,Individual,DDTs,,5.86,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2011,2003,Pink,British Columbia,BC/WC,Johnstone Strait,10,Individual,DDTs,,1.15,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2011,2003,Sockeye,British Columbia,BC/WC,Johnstone Strait,11,Individual,DDTs,,6.18,ng/g ww,Fillet,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",,contaminant
Kelly et al.,2011b,2007,Sockeye,British Columbia,BC/WC,Fraser River,5,Composite,DDTs,,6.77,ng/g ww,Fillet,"Lower Fraser River, Adams River population; back calculated concentration from ng/g lipid concentration using % lipid provided in paper; sum of p,p?-DDT, o,p?-DDT,  p,p?-DDE, o,p?-DDE, p,p?-DDD, o,p?-DDD",,contaminant
