Authors,Publication Year,Data Collection Period,Species,Region,Manuscript Region,Specific Location,n,Sample Type,Chemical,FA class,Concentration,Concentration units,Tissue,Notes,DOI or Link,type
Hites et al. ,2004,NA,Sockeye,Alaska,NA,Store-bought,3,Composite,DDTs,,2.84,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Chum,SE Alaka,NA,Store-bought,3,Composite,DDTs,,1.49,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Coho,SE Alaka,NA,Store-bought,3,Composite,DDTs,,2.36,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Pink,SE Alaka,NA,Store-bought,3,Composite,DDTs,,1.35,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Sockeye,SE Alaka,NA,Store-bought,3,Composite,DDTs,,5.78,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Chinook,British Columbia,NA,Store-bought,3,Composite,DDTs,,11.48,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Chum,British Columbia,NA,Store-bought,3,Composite,DDTs,,1.8,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Coho,British Columbia,NA,Store-bought,3,Composite,DDTs,,3.43,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Pink,British Columbia,NA,Store-bought,3,Composite,DDTs,,2.94,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Sockeye,British Columbia,NA,Store-bought,3,Composite,DDTs,,6.35,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Hites et al. ,2004,NA,Chinook,Oregon,NA,Store-bought,3,Composite,DDTs,,12.7,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1126/science.1091447,contaminant
Keefer et al.,2020,2013-2014,Chinook,Oregon,BC/WC,Willamette River,63,Individual,PCBs,,12.7,ng/g ww,Fillet+Skin,,10.1007/s10641-019-00944-w,contaminant
Keefer et al.,2020,2013-2014,Chinook,Oregon,BC/WC,Willamette River,63,Individual,DDTs,,17.6,ng/g ww,Fillet+Skin,"Sum of p,p'-DDT, o,p'-DDT,  p,p'-DDE, o,p'-DDE, p,p'-DDD, o,p'-DDD",10.1007/s10641-019-00944-w,contaminant
Kelly et al.,2008,2003,Chum,British Columbia,BC/WC,Johnstone Strait,12,Individual,THg,,0.02,mg/kg ww,Fillet,,10.1897/07-527.1,contaminant
Kelly et al.,2008,2003,Sockeye,British Columbia,BC/WC,Johnstone Strait,11,Individual,THg,,0.038,mg/kg ww,Fillet,,10.1897/07-527.1,contaminant
Kelly et al.,2008,2003,Pink,British Columbia,BC/WC,Johnstone Strait,10,Individual,THg,,0.013,mg/kg ww,Fillet,,10.1897/07-527.1,contaminant
Kelly et al.,2008,2003,Coho,British Columbia,BC/WC,Nootka Sound,10,Individual,THg,,0.04,mg/kg ww,Fillet,,10.1897/07-527.1,contaminant
Kelly et al.,2008,2003,Coho,British Columbia,BC/WC,Prince Rupert,12,Individual,THg,,0.025,mg/kg ww,Fillet,,10.1897/07-527.1,contaminant
